AIRLINE,count,max,mean,min,name
VX,4647,397,6.896277,-20,Virgin America
HA,6408,1003,1.311954,-26,Hawaiian Airlines
F9,6735,696,17.910765,-32,Frontier Airlines
NK,8632,557,13.0731,-28,Spirit Airlines
AS,13151,444,3.072086,-47,Alaska Airlines
B6,20482,500,9.988331,-27,JetBlue Airways
MQ,27568,780,15.995865,-29,American Eagle Airlines
US,32478,638,5.175011,-26,US Airways
UA,37363,886,13.885555,-40,United Airlines
AA,43074,1988,10.548335,-29,American Airlines
OO,46655,931,11.999957,-48,Skywest Airlines
EV,48084,726,9.678895,-33,Atlantic Southeast Airlines
DL,63676,1184,5.888215,-26,Delta Airlines
WN,98060,604,9.453426,-15,Southwest AirLines